ID,Start_Lat,Start_Lng,State,County,City
A-3425223,38.84105,-104.83024,CO,El Paso,Colorado Springs
A-3426619,40.00611,-104.98094,CO,Broomfield,Erie
A-3427048,39.678431,-104.933671,CO,Denver,Denver
A-3511206,39.653332,-105.2021,CO,Jefferson,Morrison
A-3426573,39.8048,-104.98363,CO,Adams,Denver
A-3425718,38.959,-104.776749,CO,El Paso,Colorado Springs
A-3511678,39.679176,-105.903757,CO,Clear Creek,Silver Plume
A-3511736,39.65873,-105.18254,CO,Jefferson,Morrison
A-3511766,39.72823,-105.01465,CO,Denver,Denver
A-3427252,38.901003,-104.828623,CO,El Paso,Colorado Springs
A-3511498,39.652135,-106.959658,CO,Eagle,Gypsum
A-3511670,39.110852,-108.539334,CO,Mesa,Grand Junction
A-3427669,39.967871,-104.988,CO,Adams,Broomfield
A-3511212,40.367639,-106.575972,CO,Grand,Kremmling
A-3511042,39.043055,-106.266127,CO,Chaffee,Granite
A-3426807,39.805068,-104.983061,CO,Adams,Denver
A-3511289,39.72563,-105.05718,CO,Jefferson,Denver
A-3427134,40.43965,-104.99242,CO,Larimer,Loveland
A-3427837,38.82538,-104.7574,CO,El Paso,Colorado Springs
A-3427559,39.64181,-104.8807,CO,Denver,Denver
A-3425211,40.30922,-104.98087,CO,Weld,Berthoud
A-3511340,39.69917,-106.67575,CO,Eagle,Edwards
A-3511439,38.45154,-107.32621,CO,Gunnison,Gunnison
A-3427347,40.0917,-104.98065,CO,Weld,Erie
A-3425929,39.65733,-104.92042,CO,Denver,Denver
A-3511234,39.578352,-105.141691,CO,Jefferson,Littleton
A-3425365,38.76209,-104.77288,CO,El Paso,Colorado Springs
A-3511496,39.662315,-106.824553,CO,Eagle,Eagle
A-3425384,39.74993900000001,-104.826049,CO,Adams,Aurora
A-3427166,39.86053,-104.91058,CO,Adams,Henderson
A-3511183,39.91378,-105.09049,CO,Broomfield,Broomfield
A-3511379,38.000225,-107.298351,CO,Hinsdale,Lake City
A-3426283,39.41947,-104.8728,CO,Douglas,Castle Rock
A-3424883,38.831476,-104.840994,CO,El Paso,Colorado Springs
A-3511719,39.72562,-105.02493,CO,Denver,Denver
A-3427359,39.78737,-104.98952,CO,Denver,Denver
A-3511412,39.62763,-106.06916,CO,Summit,Frisco
A-3426551,39.8048,-104.98363,CO,Adams,Denver
A-3425308,39.932625,-104.98788,CO,Adams,Thornton
A-3511438,38.439322,-107.344514,CO,Gunnison,Gunnison
A-3426869,39.69716,-104.98279,CO,Denver,Denver
A-3425566,38.87442,-104.81967,CO,El Paso,Colorado Springs
A-3511256,40.197113,-107.826727,CO,Rio Blanco,Meeker
A-3427524,39.71108,-104.99883,CO,Denver,Denver
A-3511378,38.001325,-107.292451,CO,Hinsdale,Lake City
A-3425871,39.778281,-104.911706,CO,Denver,Denver
A-3425533,38.814617,-104.75764,CO,El Paso,Colorado Springs
A-3511762,39.663974,-105.980156,CO,Summit,Dillon
A-3427138,39.50973,-104.76354,CO,Douglas,Parker
A-3426366,39.52678,-104.86773,CO,Douglas,Parker
A-3426050,38.945868,-104.70095,CO,El Paso,Colorado Springs
A-3511192,39.52518,-106.21529,CO,Summit,Frisco
