ID,Start_Lat,Start_Lng,State,County,City
A-3452795,35.118187,-80.867032,NC,Mecklenburg,Charlotte
A-3449491,35.3009,-80.9865,NC,Mecklenburg,Charlotte
A-3452192,35.20238,-80.84523,NC,Mecklenburg,Charlotte
A-3445608,35.19815,-80.88356999999998,NC,Mecklenburg,Charlotte
A-3447441,35.113227,-80.921182,NC,Mecklenburg,Charlotte
A-3452994,35.29076,-80.75718,NC,Mecklenburg,Charlotte
A-3446935,35.03028,-80.85146999999998,NC,Mecklenburg,Charlotte
A-3449645,35.119055,-80.983466,NC,Mecklenburg,Charlotte
A-3450550,35.14841,-80.83091999999998,NC,Mecklenburg,Charlotte
A-3451049,35.24173,-80.98375,NC,Mecklenburg,Charlotte
A-3449416,35.22093,-80.8512,NC,Mecklenburg,Charlotte
A-3454495,35.22898,-80.86691,NC,Mecklenburg,Charlotte
A-3445912,35.230592,-80.846982,NC,Mecklenburg,Charlotte
A-3447429,35.103911,-80.986428,NC,Mecklenburg,Charlotte
A-3446937,35.03032,-80.85171,NC,Mecklenburg,Charlotte
A-3455179,35.164152,-80.74065,NC,Mecklenburg,Charlotte
A-3452472,35.17334,-80.70684,NC,Mecklenburg,Matthews
A-3449600,35.138516,-80.935405,NC,Mecklenburg,Charlotte
A-3445527,35.297473,-80.73983100000002,NC,Mecklenburg,Charlotte
A-3448233,35.28015,-80.89684,NC,Mecklenburg,Charlotte
A-3448252,35.252463,-80.654787,NC,Mecklenburg,Charlotte
A-3448323,35.209842,-80.814453,NC,Mecklenburg,Charlotte
A-3447550,35.291325,-80.728388,NC,Mecklenburg,Charlotte
A-3450072,35.08767,-80.85295,NC,Mecklenburg,Charlotte
A-3448537,35.060149,-80.812747,NC,Mecklenburg,Charlotte
A-3445832,35.444695,-80.86601,NC,Mecklenburg,Huntersville
A-3454772,35.235815,-80.839075,NC,Mecklenburg,Charlotte
A-3447460,35.19481,-80.76629,NC,Mecklenburg,Charlotte
A-3447109,35.112003,-80.882785,NC,Mecklenburg,Charlotte
A-3445430,35.055361,-80.85951899999998,NC,Mecklenburg,Charlotte
A-3450356,35.26484,-80.87575,NC,Mecklenburg,Charlotte
A-3452431,35.1793,-80.80264,NC,Mecklenburg,Charlotte
A-3450279,35.065852,-80.822614,NC,Mecklenburg,Charlotte
A-3455119,35.167363,-80.742918,NC,Mecklenburg,Charlotte
A-3452371,35.058058,-80.81238,NC,Mecklenburg,Charlotte
A-3449603,35.13811,-80.9362,NC,Mecklenburg,Charlotte
A-3447551,35.158883,-80.970609,NC,Mecklenburg,Charlotte
A-3449723,35.230837,-80.859708,NC,Mecklenburg,Charlotte
A-3449495,35.224319,-80.867564,NC,Mecklenburg,Charlotte
A-3453337,35.06468,-80.76859300000002,NC,Mecklenburg,Charlotte
A-3452805,35.15275,-80.84854,NC,Mecklenburg,Charlotte
A-3452790,35.26126,-80.837,NC,Mecklenburg,Charlotte
A-3454655,35.186083,-80.730409,NC,Mecklenburg,Charlotte
A-3452888,35.20271,-80.732525,NC,Mecklenburg,Charlotte
A-3446918,35.15463,-80.79482,NC,Mecklenburg,Charlotte
A-3447495,35.25125999999999,-80.89443,NC,Mecklenburg,Charlotte
A-3445878,35.22490999999999,-80.865199,NC,Mecklenburg,Charlotte
A-3449887,35.31766,-80.94483000000002,NC,Mecklenburg,Charlotte
A-3454122,35.08758,-80.81187,NC,Mecklenburg,Charlotte
A-3449520,35.239351,-80.885231,NC,Mecklenburg,Charlotte
A-3448355,35.154509999999995,-80.79491999999998,NC,Mecklenburg,Charlotte
A-3447957,35.08769,-80.84989399999998,NC,Mecklenburg,Charlotte
A-3450425,35.218298,-80.853922,NC,Mecklenburg,Charlotte
A-3446888,35.223687,-80.92438800000002,NC,Mecklenburg,Charlotte
A-3447170,35.31081,-80.84781,NC,Mecklenburg,Charlotte
A-3452108,35.18725,-80.735651,NC,Mecklenburg,Charlotte
A-3450652,35.21779,-80.83469000000002,NC,Mecklenburg,Charlotte
A-3446022,35.08767,-80.85295,NC,Mecklenburg,Charlotte
A-3454775,35.15482,-80.94632,NC,Mecklenburg,Charlotte
A-3450658,35.195582,-80.765405,NC,Mecklenburg,Charlotte
A-3452368,35.0582,-80.81234,NC,Mecklenburg,Charlotte
