ID,Start_Lat,Start_Lng,State,County,City
A-53206,34.19957,-118.338249,CA,Los Angeles,Burbank
A-53207,33.873173,-118.266052,CA,Los Angeles,Carson
A-53208,34.182049,-118.397179,CA,Los Angeles,North Hollywood
A-53209,34.155421999999994,-118.2939,CA,Los Angeles,Los Angeles
A-53212,34.005787,-118.413177,CA,Los Angeles,Culver City
A-53213,34.033218,-118.192375,CA,Los Angeles,Los Angeles
A-53215,34.055695,-118.451965,CA,Los Angeles,Los Angeles
A-53216,33.938202000000004,-118.348259,CA,Los Angeles,Inglewood
A-53219,34.27512,-118.493736,CA,Los Angeles,Granada Hills
A-53220,34.071853999999995,-117.887756,CA,Los Angeles,West Covina
A-53221,34.023575,-118.243019,CA,Los Angeles,Los Angeles
A-53223,33.943008,-118.033081,CA,Los Angeles,Whittier
A-53227,34.072418,-118.072884,CA,Los Angeles,El Monte
A-53234,34.098068,-118.314629,CA,Los Angeles,Los Angeles
A-53237,34.011848,-117.966248,CA,Los Angeles,Hacienda Heights
A-53240,34.114853000000004,-117.978043,CA,Los Angeles,Baldwin Park
A-53243,33.914726,-118.104927,CA,Los Angeles,Norwalk
A-53247,34.165508,-118.492355,CA,Los Angeles,Encino
A-53249,33.875439,-118.193504,CA,Los Angeles,Long Beach
A-53255,33.971817,-117.846436,CA,Los Angeles,Diamond Bar
A-53259,34.071346000000005,-118.235413,CA,Los Angeles,Los Angeles
A-53270,33.821648,-118.207024,CA,Los Angeles,Long Beach
A-53276,34.054359000000005,-118.004349,CA,Los Angeles,La Puente
A-53278,33.93071,-118.177528,CA,Los Angeles,Lynwood
A-53280,34.071358000000004,-118.140984,CA,Los Angeles,Alhambra
A-53287,34.380093,-118.568787,CA,Los Angeles,Stevenson Ranch
A-53291,34.015308000000005,-118.044006,CA,Los Angeles,Whittier
A-53296,33.928944,-118.280663,CA,Los Angeles,Los Angeles
A-53306,34.235577,-118.472961,CA,Los Angeles,North Hills
A-53307,33.962177000000004,-118.123146,CA,Los Angeles,Downey
A-53316,33.946514,-118.228584,CA,Los Angeles,Los Angeles
A-53319,33.863921999999995,-118.046394,CA,Los Angeles,Cerritos
A-53332,34.122634999999995,-118.478424,CA,Los Angeles,Los Angeles
A-53345,34.034584,-118.345749,CA,Los Angeles,Los Angeles
A-53346,34.053425,-117.781143,CA,Los Angeles,Pomona
A-53359,33.824371,-118.287247,CA,Los Angeles,Carson
A-53363,34.152061,-118.12416100000002,CA,Los Angeles,Pasadena
A-53364,34.024887,-117.731453,CA,Los Angeles,Pomona
A-53371,34.207676,-118.571014,CA,Los Angeles,Winnetka
A-53377,34.147743,-118.031677,CA,Los Angeles,Arcadia
A-53385,33.887386,-118.333435,CA,Los Angeles,Gardena
A-53414,34.120659,-117.873642,CA,Los Angeles,Glendora
A-53437,34.014645,-118.130043,CA,Los Angeles,Montebello
A-53451,34.183075,-118.164131,CA,Los Angeles,Altadena
A-53487,34.042645,-118.573601,CA,Los Angeles,Malibu
A-53493,34.13308,-118.352524,CA,Los Angeles,Los Angeles
A-53496,34.119938,-117.706848,CA,Los Angeles,Claremont
A-53509,33.748177,-118.290863,CA,Los Angeles,San Pedro
A-53518,34.425117,-118.423637,CA,Los Angeles,Canyon Country
A-53585,34.109158,-118.629555,CA,Los Angeles,Topanga
A-53625,34.046249,-118.931969,CA,Los Angeles,Malibu
A-53637,34.226574,-118.387817,CA,Los Angeles,Sun Valley
A-53707,34.496723,-118.218819,CA,Los Angeles,Acton
A-53717,33.827656,-118.116577,CA,Los Angeles,Long Beach
A-53722,34.021503,-118.802567,CA,Los Angeles,Malibu
A-53809,33.974655,-118.280991,CA,Los Angeles,Los Angeles
A-53822,34.280415000000005,-118.418785,CA,Los Angeles,Pacoima
A-53824,34.142757,-118.185654,CA,Los Angeles,Los Angeles
A-53829,34.207294,-118.216927,CA,Los Angeles,La Canada Flintridge
A-53847,34.277824,-118.604782,CA,Los Angeles,Chatsworth
A-53862,34.492104,-118.28343999999998,CA,Los Angeles,Acton
A-53891,34.489616,-118.619324,CA,Los Angeles,Castaic
A-53893,33.96785,-117.915268,CA,Los Angeles,Rowland Heights
A-53894,34.155743,-118.242271,CA,Los Angeles,Glendale
A-53895,34.285221,-118.190819,CA,Los Angeles,Tujunga
A-53899,34.071476000000004,-117.948799,CA,Los Angeles,West Covina
A-53903,34.509388,-118.112122,CA,Los Angeles,Palmdale
A-53919,34.148575,-118.697922,CA,Los Angeles,Calabasas
A-53965,34.436089,-118.59381100000002,CA,Los Angeles,Valencia
A-53969,33.98856,-118.358559,CA,Los Angeles,Los Angeles
A-53980,33.778969000000004,-118.165482,CA,Los Angeles,Long Beach
A-54052,34.335392,-118.510582,CA,Los Angeles,Newhall
A-54240,33.876301,-118.128838,CA,Los Angeles,Bellflower
A-54355,34.090599,-118.392021,CA,Los Angeles,West Hollywood
A-54447,34.259716,-118.329666,CA,Los Angeles,Sunland
A-54570,33.786015,-118.093086,CA,Los Angeles,Long Beach
A-54638,34.392403,-118.472481,CA,Los Angeles,Newhall
A-54653,34.490852000000004,-118.164192,CA,Los Angeles,Acton
A-54720,34.340969,-118.110191,CA,Los Angeles,Palmdale
A-54721,34.184437,-117.872643,CA,Los Angeles,Azusa
A-54752,34.521107,-117.983665,CA,Los Angeles,Littlerock
A-54831,34.171951,-118.605896,CA,Los Angeles,Woodland Hills
A-54948,34.046021,-118.741707,CA,Los Angeles,Malibu
A-55468,34.110123,-118.740257,CA,Los Angeles,Agoura Hills
A-55490,34.010056,-117.823219,CA,Los Angeles,Diamond Bar
A-55559,34.071033,-117.727669,CA,Los Angeles,Pomona
A-55650,34.466724,-118.329163,CA,Los Angeles,Santa Clarita
A-55669,34.119492,-117.76162,CA,Los Angeles,La Verne
A-55753,34.231285,-118.26619,CA,Los Angeles,La Crescenta
A-55765,34.176346,-117.675926,CA,Los Angeles,Valyermo
A-55772,33.921532,-117.98748799999998,CA,Los Angeles,Whittier
A-55848,34.099369,-117.819221,CA,Los Angeles,San Dimas
A-55906,34.150707000000004,-118.809868,CA,Los Angeles,Westlake Village
A-55917,34.111996000000005,-118.265465,CA,Los Angeles,Los Angeles
A-55966,34.265915,-118.134148,CA,Los Angeles,Valyermo
A-56115,33.782532,-118.352364,CA,Los Angeles,Rolling Hills Estates
A-56780,34.448032,-118.665871,CA,Los Angeles,Castaic
A-57212,34.521851,-118.045189,CA,Los Angeles,Palmdale
A-57220,34.446724,-118.48063700000002,CA,Los Angeles,Santa Clarita
A-57314,34.38118,-118.413422,CA,Los Angeles,Canyon Country
A-57371,34.314442,-117.836723,CA,Los Angeles,Valyermo
A-57379,33.981426,-118.459915,CA,Los Angeles,Marina del Rey
A-57436,34.015671000000005,-117.912743,CA,Los Angeles,La Puente
A-57565,34.113464,-118.088562,CA,Los Angeles,San Gabriel
A-57576,34.070393,-118.666122,CA,Los Angeles,Malibu
A-57633,34.204048,-117.808945,CA,Los Angeles,Valyermo
A-58833,34.498627,-117.791534,CA,Los Angeles,Llano
A-58934,34.27301,-118.043343,CA,Los Angeles,Valyermo
A-58954,34.483115999999995,-117.712868,CA,Los Angeles,Llano
A-59002,34.145107,-117.935295,CA,Los Angeles,Duarte
A-59231,34.236046,-117.659889,CA,Los Angeles,Valyermo
A-59407,34.355911,-117.877304,CA,Los Angeles,Valyermo
A-60021,33.978523,-118.075325,CA,Los Angeles,Whittier
A-3524620,34.58119,-118.13364,CA,Los Angeles,Palmdale
A-3524829,34.75584,-118.79559,CA,Los Angeles,Lebec
A-3525221,34.68097,-118.16309,CA,Los Angeles,Lancaster
A-3526661,34.69024,-117.97547,CA,Los Angeles,Lancaster
A-3526781,34.57247,-118.69176000000002,CA,Los Angeles,Castaic
A-3527048,34.073855,-118.814456,CA,Los Angeles,Malibu
A-3527077,34.50645,-117.906469,CA,Los Angeles,Pearblossom
A-3527329,34.66434,-118.76092,CA,Los Angeles,Lebec
A-3527351,34.2731,-118.55087,CA,Los Angeles,Porter Ranch
A-3528317,34.510865,-118.354088,CA,Los Angeles,Santa Clarita
A-3528353,33.759433,-118.235152,CA,Los Angeles,Long Beach
A-3528686,34.37894,-117.69061,CA,Los Angeles,Llano
A-3528721,33.83757,-118.366364,CA,Los Angeles,Torrance
A-3528735,34.64602,-118.04089,CA,Los Angeles,Palmdale
