ID,Start_Lat,Start_Lng,State,County,City
A-116119,27.996071,-82.45359,FL,Hillsborough,Tampa
A-116137,27.947798,-82.53137199999998,FL,Hillsborough,Tampa
A-116142,28.027067,-82.152771,FL,Hillsborough,Plant City
A-116145,27.968388,-82.401611,FL,Hillsborough,Tampa
A-116148,27.93054,-82.351295,FL,Hillsborough,Tampa
A-116151,28.03298,-82.45500899999998,FL,Hillsborough,Tampa
A-116155,28.054705,-82.454872,FL,Hillsborough,Tampa
A-116156,27.846132,-82.38160699999997,FL,Hillsborough,Gibsonton
A-116170,27.996532,-82.56280500000003,FL,Hillsborough,Tampa
A-116171,27.92271400000001,-82.368698,FL,Hillsborough,Tampa
A-116173,27.941801,-82.32959,FL,Hillsborough,Tampa
A-116185,27.964518,-82.42598000000002,FL,Hillsborough,Tampa
A-116212,28.006342,-82.302307,FL,Hillsborough,Seffner
A-116222,27.958771,-82.422371,FL,Hillsborough,Tampa
A-116225,27.712387,-82.367851,FL,Hillsborough,Sun City Center
A-116237,27.956661,-82.46093,FL,Hillsborough,Tampa
A-116256,28.166483000000003,-82.394897,FL,Hillsborough,Tampa
A-116260,28.078701,-82.562325,FL,Hillsborough,Tampa
A-116262,27.952131,-82.510666,FL,Hillsborough,Tampa
A-116305,27.949551,-82.354225,FL,Hillsborough,Tampa
A-116312,27.981548,-82.45384200000002,FL,Hillsborough,Tampa
A-116313,27.791918,-82.335236,FL,Hillsborough,Riverview
A-116325,28.069836,-82.354057,FL,Hillsborough,Tampa
A-116330,28.001429,-82.48439,FL,Hillsborough,Tampa
A-116378,27.791718,-82.356926,FL,Hillsborough,Apollo Beach
A-116385,28.032036,-82.13407099999998,FL,Hillsborough,Plant City
A-116439,28.002012,-82.326462,FL,Hillsborough,Tampa
A-116440,28.036619,-82.063751,FL,Hillsborough,Plant City
A-116444,27.96475,-82.452522,FL,Hillsborough,Tampa
A-116452,27.927614,-82.331734,FL,Hillsborough,Tampa
A-116513,27.85162,-82.34671800000002,FL,Hillsborough,Gibsonton
A-116538,28.096373,-82.45201899999998,FL,Hillsborough,Lutz
A-116545,27.903406,-82.343964,FL,Hillsborough,Riverview
A-116584,27.835173,-82.32856,FL,Hillsborough,Riverview
A-116608,27.966722,-82.505531,FL,Hillsborough,Tampa
A-116610,27.86441,-82.385147,FL,Hillsborough,Riverview
A-116611,27.98143,-82.28609499999997,FL,Hillsborough,Seffner
A-116620,28.069319,-82.45458199999999,FL,Hillsborough,Tampa
A-116624,28.025457,-82.459496,FL,Hillsborough,Tampa
A-116637,28.040438,-82.558723,FL,Hillsborough,Tampa
A-116657,27.792519,-82.384254,FL,Hillsborough,Gibsonton
A-116659,28.003147,-82.453026,FL,Hillsborough,Tampa
A-116701,28.040117,-82.504913,FL,Hillsborough,Tampa
A-116721,28.014116,-82.32916999999998,FL,Hillsborough,Tampa
A-116745,27.949987,-82.401596,FL,Hillsborough,Tampa
A-116753,27.949835,-82.36895799999998,FL,Hillsborough,Tampa
A-116755,28.087919,-82.451538,FL,Hillsborough,Tampa
A-116769,27.981737,-82.563644,FL,Hillsborough,Rocky Point
A-116770,28.014462,-82.505013,FL,Hillsborough,Tampa
A-116773,28.025457,-82.505013,FL,Hillsborough,Tampa
A-116781,27.981203000000004,-82.577316,FL,Hillsborough,Tampa
A-116789,27.922962,-82.401878,FL,Hillsborough,Tampa
A-116790,27.887083,-82.330826,FL,Hillsborough,Riverview
A-116847,28.086128,-82.504662,FL,Hillsborough,Tampa
A-116861,27.937729,-82.306206,FL,Hillsborough,Brandon
A-116885,27.96546,-82.435509,FL,Hillsborough,Tampa
A-116910,27.980228000000004,-82.326164,FL,Hillsborough,Tampa
A-116938,27.937677,-82.121201,FL,Hillsborough,Plant City
A-116951,28.065973,-82.56749,FL,Hillsborough,Tampa
A-117009,27.967226,-82.547112,FL,Hillsborough,Tampa
A-117033,27.923147,-82.326904,FL,Hillsborough,Brandon
