ID,Start_Lat,Start_Lng,State,County,City
A-160867,41.541004,-93.645027,IA,Polk,Des Moines
A-160870,41.60067700000001,-93.541878,IA,Polk,Des Moines
A-160872,41.643944,-93.697708,IA,Polk,Urbandale
A-160873,41.595955,-93.64431,IA,Polk,Des Moines
A-160885,41.588078,-93.637115,IA,Polk,Des Moines
A-160909,41.535557,-93.628288,IA,Polk,Des Moines
A-160910,41.649452,-93.600266,IA,Polk,Des Moines
A-160913,41.600822,-93.626778,IA,Polk,Des Moines
A-160947,41.66201,-93.494301,IA,Polk,Altoona
A-160949,41.64957800000001,-93.619904,IA,Polk,Des Moines
A-160955,41.592953,-93.736168,IA,Polk,West des Moines
A-160956,41.653522,-93.575294,IA,Polk,Des Moines
A-160964,41.629475,-93.699387,IA,Polk,Des Moines
A-160968,41.592693,-93.693733,IA,Polk,Des Moines
A-160969,41.593224,-93.659393,IA,Polk,Des Moines
A-160972,41.5914,-93.674393,IA,Polk,Des Moines
A-160973,41.592319,-93.777138,IA,Polk,West des Moines
A-160974,41.593273,-93.715652,IA,Polk,Windsor Heights
A-160975,41.584446,-93.659325,IA,Polk,Des Moines
A-160979,41.627808,-93.575333,IA,Polk,Des Moines
A-160984,41.548199,-93.619141,IA,Polk,Des Moines
A-161002,41.600769,-93.366966,IA,Polk,Mitchellville
A-161010,41.607597,-93.583549,IA,Polk,Des Moines
A-161011,41.592377,-93.751816,IA,Polk,West des Moines
A-161014,41.619381,-93.776703,IA,Polk,Urbandale
A-161017,41.618542,-93.67308,IA,Polk,Des Moines
A-161018,41.680336,-93.576881,IA,Polk,Ankeny
A-161037,41.595654,-93.617004,IA,Polk,Des Moines
A-161047,41.611332,-93.619827,IA,Polk,Des Moines
A-161048,41.644169,-93.581322,IA,Polk,Des Moines
A-161051,41.569958,-93.605316,IA,Polk,Des Moines
A-161053,41.614994,-93.601753,IA,Polk,Des Moines
A-161078,41.569679,-93.622803,IA,Polk,Des Moines
A-161081,41.650871,-93.667686,IA,Polk,Des Moines
A-161090,41.605904,-93.642639,IA,Polk,Des Moines
A-161092,41.680473,-93.36779,IA,Polk,Mitchellville
A-161093,41.5481,-93.596825,IA,Polk,Des Moines
A-161096,41.600529,-93.561119,IA,Polk,Des Moines
A-161099,41.555546,-93.678856,IA,Polk,Des Moines
A-161101,41.627758,-93.55632,IA,Polk,Des Moines
A-161119,41.702862,-93.576012,IA,Polk,Ankeny
A-161123,41.667469,-93.4646,IA,Polk,Bondurant
A-161124,41.760796,-93.569473,IA,Polk,Ankeny
A-161166,41.600323,-93.406288,IA,Polk,Runnells
A-161189,41.74638,-93.609985,IA,Polk,Ankeny
A-161238,41.627739,-93.651184,IA,Polk,Des Moines
A-161249,41.643993,-93.561157,IA,Polk,Des Moines
A-161257,41.585575,-93.619179,IA,Polk,Des Moines
A-161298,41.595215,-93.602699,IA,Polk,Des Moines
A-161314,41.63496,-93.600517,IA,Polk,Des Moines
A-161318,41.60740300000001,-93.672989,IA,Polk,Des Moines
A-161319,41.629551,-93.662468,IA,Polk,Des Moines
A-161320,41.581249,-93.596855,IA,Polk,Des Moines
A-161321,41.627663,-93.624771,IA,Polk,Des Moines
A-161325,41.513908,-93.681442,IA,Polk,Cumming
A-161339,41.703053,-93.621567,IA,Polk,Ankeny
A-161359,41.520416,-93.691902,IA,Polk,Des Moines
A-161371,41.615063,-93.577576,IA,Polk,Des Moines
A-161379,41.6147,-93.718506,IA,Polk,Urbandale
A-161383,41.569935,-93.592079,IA,Polk,Des Moines
A-161401,41.555367,-93.602615,IA,Polk,Des Moines
A-161410,41.555443,-93.644958,IA,Polk,Des Moines
A-161458,41.652012,-93.697479,IA,Polk,Des Moines
A-161462,41.523941,-93.773026,IA,Polk,Cumming
A-161484,41.600365,-93.680122,IA,Polk,Des Moines
A-161486,41.614887,-93.698975,IA,Polk,Urbandale
A-161497,41.584717,-93.742546,IA,Polk,West Des Moines
A-161553,41.557255,-93.634155,IA,Polk,Des Moines
A-161579,41.615112,-93.53212,IA,Polk,Des Moines
A-161591,41.616802,-93.658531,IA,Polk,Des Moines
A-161621,41.598694,-93.497879,IA,Polk,Pleasant Hill
A-3425379,41.60037,-93.446668,IA,Polk,Pleasant Hill
