ID,Start_Lat,Start_Lng,State,County,City
A-3445733,36.1472,-86.74367,TN,Davidson,Nashville
A-3445734,36.15881,-86.82234,TN,Davidson,Nashville
A-3445743,36.1634,-86.76194,TN,Davidson,Nashville
A-3445759,36.07232,-86.69174,TN,Davidson,Nashville
A-3445796,36.17146,-86.80277,TN,Davidson,Nashville
A-3445860,36.210288,-86.733531,TN,Davidson,Nashville
A-3445862,36.15016,-86.85793000000002,TN,Davidson,Nashville
A-3445989,36.11868,-86.80108,TN,Davidson,Nashville
A-3446057,36.14148,-86.67041,TN,Davidson,Nashville
A-3446208,36.15252,-86.766419,TN,Davidson,Nashville
A-3446209,36.14893,-86.77733,TN,Davidson,Nashville
A-3446350,36.03862,-86.64787,TN,Davidson,Antioch
A-3446361,36.02848400000001,-86.63639599999998,TN,Davidson,Antioch
A-3446821,36.15326,-86.63306,TN,Davidson,Nashville
A-3446951,36.14062,-86.73200000000001,TN,Davidson,Nashville
A-3447011,36.10776,-86.72012,TN,Davidson,Nashville
A-3447050,36.247781,-86.742889,TN,Davidson,Madison
A-3447294,36.174701,-86.771191,TN,Davidson,Nashville
A-3447350,36.12496,-86.81349,TN,Davidson,Nashville
A-3447557,36.13917100000001,-86.82257,TN,Davidson,Nashville
A-3447561,36.20882,-86.77620999999998,TN,Davidson,Nashville
A-3447625,36.22089,-86.7747,TN,Davidson,Nashville
A-3447849,36.14821,-86.69227,TN,Davidson,Nashville
A-3447875,36.10483,-86.76706,TN,Davidson,Nashville
A-3447915,36.129922,-86.695112,TN,Davidson,Nashville
A-3448017,36.04265,-86.78211,TN,Davidson,Nashville
A-3448244,36.1872,-86.6308,TN,Davidson,Hermitage
A-3448835,36.19012,-86.753355,TN,Davidson,Nashville
A-3448847,36.1995,-86.68867,TN,Davidson,Nashville
A-3448855,36.304782,-86.707595,TN,Davidson,Goodlettsville
A-3449004,36.21949,-86.69327,TN,Davidson,Nashville
A-3449663,36.04433,-86.65701999999997,TN,Davidson,Antioch
A-3449822,36.34009,-86.91736,TN,Davidson,Joelton
A-3449869,36.2611,-86.738173,TN,Davidson,Madison
A-3449888,36.319676,-86.702851,TN,Davidson,Goodlettsville
A-3449927,36.100529,-86.739909,TN,Davidson,Nashville
A-3449977,36.130974,-86.898322,TN,Davidson,Nashville
A-3449981,36.044808,-86.724763,TN,Davidson,Nashville
A-3449983,36.07894,-86.72613,TN,Davidson,Nashville
A-3449996,36.253398,-86.716711,TN,Davidson,Madison
A-3450037,36.08687000000001,-86.696694,TN,Davidson,Nashville
A-3450100,36.194597,-86.83274499999997,TN,Davidson,Nashville
A-3450105,36.12651,-86.84544,TN,Davidson,Nashville
A-3450118,36.266628,-86.830917,TN,Davidson,Whites Creek
A-3450150,36.101137,-86.81855300000002,TN,Davidson,Nashville
A-3450166,36.159762,-86.782661,TN,Davidson,Nashville
A-3450170,36.08144,-86.75957,TN,Davidson,Nashville
A-3450175,36.01337,-86.62069,TN,Davidson,Antioch
A-3450198,36.07448,-86.92093,TN,Davidson,Nashville
A-3450207,36.18366500000001,-86.798484,TN,Davidson,Nashville
A-3450209,36.229364,-86.759263,TN,Davidson,Nashville
A-3450280,36.18874,-86.77539,TN,Davidson,Nashville
A-3450285,36.16328,-86.79372,TN,Davidson,Nashville
A-3450316,36.11828,-86.72596,TN,Davidson,Nashville
A-3450321,36.132637,-86.830759,TN,Davidson,Nashville
A-3450442,36.057771,-86.773588,TN,Davidson,Nashville
A-3450530,36.257889,-86.656848,TN,Davidson,Old Hickory
A-3450556,36.15361,-86.84664000000002,TN,Davidson,Nashville
A-3450576,36.069697,-86.721142,TN,Davidson,Nashville
A-3450579,36.080202,-86.901865,TN,Davidson,Nashville
A-3450585,36.16693,-86.81654,TN,Davidson,Nashville
A-3450632,36.141146,-86.800298,TN,Davidson,Nashville
A-3450636,36.16465,-86.68861,TN,Davidson,Nashville
A-3450869,36.12384,-86.74825,TN,Davidson,Nashville
A-3451675,36.11385,-86.9195,TN,Davidson,Nashville
A-3451717,36.178504,-86.87043,TN,Davidson,Nashville
A-3451787,36.23699000000001,-86.7909,TN,Davidson,Nashville
A-3454009,36.16944,-86.60575,TN,Davidson,Hermitage
A-3454034,36.280002,-86.733295,TN,Davidson,Madison
A-3454236,36.148694,-86.87530600000002,TN,Davidson,Nashville
A-3455065,36.1305,-86.72765,TN,Davidson,Nashville
