ID,Start_Lat,Start_Lng,State,County,City
A-228661,40.014603,-76.326111,PA,Lancaster,Lancaster
A-228664,40.037949,-76.305687,PA,Lancaster,Lancaster
A-228721,40.084305,-76.352562,PA,Lancaster,Lancaster
A-228722,39.991131,-76.260338,PA,Lancaster,Willow Street
A-228732,40.000183,-76.36547900000002,PA,Lancaster,Millersville
A-228733,40.07896,-76.32717099999998,PA,Lancaster,Lancaster
A-228760,40.203022,-76.157318,PA,Lancaster,Ephrata
A-228768,40.052464,-76.305367,PA,Lancaster,Lancaster
A-228796,40.15995,-76.390984,PA,Lancaster,Manheim
A-228805,40.06488,-76.46302,PA,Lancaster,Mount Joy
A-228873,40.152863,-76.23188,PA,Lancaster,Lititz
A-228882,40.163376,-76.15128299999998,PA,Lancaster,Ephrata
A-228888,40.122799,-76.231438,PA,Lancaster,Leola
A-228896,40.038551,-76.3358,PA,Lancaster,Lancaster
A-228916,40.128239,-76.611542,PA,Lancaster,Elizabethtown
A-228938,40.121841,-76.340805,PA,Lancaster,Lititz
A-228940,40.040005,-76.287338,PA,Lancaster,Lancaster
A-228956,40.142097,-76.657692,PA,Lancaster,Elizabethtown
A-228969,40.139946,-76.564194,PA,Lancaster,Elizabethtown
A-229000,40.053356,-76.32457,PA,Lancaster,Lancaster
A-229011,40.178005,-76.601028,PA,Lancaster,Elizabethtown
A-229017,40.063602,-76.33985899999998,PA,Lancaster,Lancaster
A-229020,40.039673,-76.364319,PA,Lancaster,Lancaster
A-229032,40.071407,-76.300301,PA,Lancaster,Lancaster
A-229037,40.05537800000001,-76.3983,PA,Lancaster,Lancaster
A-229038,40.072372,-76.268105,PA,Lancaster,Lancaster
A-229040,40.097534,-76.634644,PA,Lancaster,Elizabethtown
A-229057,40.147308,-76.596657,PA,Lancaster,Elizabethtown
A-229075,40.029865,-76.244026,PA,Lancaster,Lancaster
A-229088,40.16108300000001,-76.271782,PA,Lancaster,Lititz
A-229089,40.182819,-76.184608,PA,Lancaster,Ephrata
A-229091,40.138672,-76.283974,PA,Lancaster,Lititz
A-229105,40.114525,-76.504456,PA,Lancaster,Mount Joy
A-229162,40.092358,-76.409973,PA,Lancaster,Landisville
A-229207,40.029644,-76.323105,PA,Lancaster,Lancaster
A-229246,40.213722,-76.126419,PA,Lancaster,Stevens
A-229354,40.094463,-76.304604,PA,Lancaster,Lancaster
A-229361,40.157177,-76.04972099999998,PA,Lancaster,Terre Hill
A-229378,39.994019,-76.320053,PA,Lancaster,Lancaster
A-229388,40.110348,-76.473274,PA,Lancaster,Mount Joy
A-229389,39.961342,-76.28897099999998,PA,Lancaster,Willow Street
A-229393,40.182728,-76.463898,PA,Lancaster,Manheim
A-229409,40.128773,-76.31179,PA,Lancaster,Lititz
A-229478,39.973866,-76.255661,PA,Lancaster,Willow Street
A-229514,40.088982,-76.18006899999997,PA,Lancaster,Leola
A-229539,40.195312,-76.200035,PA,Lancaster,Ephrata
A-229567,40.104237,-76.254272,PA,Lancaster,Lititz
A-229599,40.062599,-76.243912,PA,Lancaster,Lancaster
A-229602,40.05267,-76.213463,PA,Lancaster,Lancaster
A-229627,39.950764,-76.340073,PA,Lancaster,Conestoga
A-229654,40.120529,-76.561699,PA,Lancaster,Mount Joy
A-229667,40.124531,-76.469444,PA,Lancaster,Manheim
A-229675,40.106602,-76.067627,PA,Lancaster,New Holland
A-229739,39.961506,-76.364639,PA,Lancaster,Millersville
A-229805,40.023228,-76.27939599999998,PA,Lancaster,Lancaster
A-229825,40.180546,-76.40422099999998,PA,Lancaster,Manheim
A-229853,40.228313,-76.432121,PA,Lancaster,Manheim
A-229859,40.03389,-76.499596,PA,Lancaster,Columbia
A-229874,40.205669,-76.17524,PA,Lancaster,Ephrata
A-229902,40.258682,-76.092766,PA,Lancaster,Reinholds
A-229914,40.022762,-76.367088,PA,Lancaster,Lancaster
A-229928,40.006256,-76.24807,PA,Lancaster,Lancaster
A-229940,40.233772,-76.259773,PA,Lancaster,Lititz
A-229944,39.981079,-76.31768000000002,PA,Lancaster,Lancaster
A-229953,40.166294,-76.30809,PA,Lancaster,Lititz
A-229954,40.08514,-76.28763599999998,PA,Lancaster,Lancaster
A-229992,40.130898,-76.21704100000002,PA,Lancaster,Ephrata
A-230059,40.03785300000001,-76.42215,PA,Lancaster,Mountville
A-230103,40.07766,-76.604691,PA,Lancaster,Marietta
A-230109,40.066051,-76.202545,PA,Lancaster,Leola
A-230115,40.00404,-76.222504,PA,Lancaster,Lancaster
A-230145,40.038773,-76.145035,PA,Lancaster,Ronks
A-230225,40.164867,-76.64238,PA,Lancaster,Elizabethtown
A-230227,40.205204,-76.392151,PA,Lancaster,Manheim
A-230334,40.114487,-76.689766,PA,Lancaster,Bainbridge
A-230358,40.05323,-76.261375,PA,Lancaster,Lancaster
A-230527,40.150497,-76.297119,PA,Lancaster,Lititz
