ID,Start_Lat,Start_Lng,State,County,City
A-3445392,35.20625,-80.79549,NC,Mecklenburg,Charlotte
A-3445410,35.22784,-80.91346800000002,NC,Mecklenburg,Charlotte
A-3445430,35.055361,-80.85951899999998,NC,Mecklenburg,Charlotte
A-3445437,35.076734,-80.742723,NC,Mecklenburg,Charlotte
A-3445481,35.31281,-80.70561,NC,Mecklenburg,Charlotte
A-3445569,35.50615,-80.86633,NC,Mecklenburg,Davidson
A-3445613,35.79725999999999,-78.57777,NC,Wake,Raleigh
A-3445661,36.06129,-80.22333,NC,Forsyth,Winston Salem
A-3445665,35.52138,-78.28596999999998,NC,Johnston,Selma
A-3445666,35.80904,-80.86654899999998,NC,Iredell,Statesville
A-3445841,35.409128,-80.854649,NC,Mecklenburg,Huntersville
A-3445855,35.10277,-80.98872,NC,Mecklenburg,Charlotte
A-3446117,35.028551,-79.14014399999998,NC,Hoke,Raeford
A-3446120,36.03675,-79.78778,NC,Guilford,Greensboro
A-3446125,35.978295,-78.686651,NC,Wake,Raleigh
A-3446126,36.00235,-78.91786,NC,Durham,Durham
A-3446290,36.040874,-80.376919,NC,Forsyth,Clemmons
A-3446465,35.27275,-81.1599,NC,Gaston,Gastonia
A-3446539,35.32076,-80.939,NC,Mecklenburg,Charlotte
A-3446732,34.01729,-78.27326,NC,Brunswick,Supply
A-3447201,35.575895,-80.709067,NC,Iredell,Mooresville
A-3447208,36.05999,-79.60855,NC,Guilford,Whitsett
A-3447329,35.40482,-80.6963,NC,Cabarrus,Concord
A-3447593,36.07519,-80.10471,NC,Forsyth,Kernersville
A-3447798,35.83263,-78.76531999999997,NC,Wake,Cary
A-3447810,35.72635,-80.38329,NC,Davidson,Linwood
A-3447887,36.0772,-79.94925,NC,Guilford,Greensboro
A-3448085,35.89451,-78.8603,NC,Durham,Durham
A-3448150,35.596623,-82.571271,NC,Buncombe,Asheville
A-3448457,36.31894000000001,-80.44131,NC,Stokes,Pinnacle
A-3449033,35.773307,-79.616247,NC,Randolph,Ramseur
A-3449098,34.96313,-80.03836700000002,NC,Anson,Wadesboro
A-3449156,35.656663,-80.86140400000002,NC,Iredell,Troutman
A-3449237,34.860544,-79.999125,NC,Anson,Morven
A-3449248,35.75203,-78.69556,NC,Wake,Raleigh
A-3449652,35.71934500000001,-78.843027,NC,Wake,Apex
A-3449671,34.34767,-77.88231999999998,NC,New Hanover,Castle Hayne
A-3449773,36.07728,-78.76953,NC,Granville,Creedmoor
A-3449969,35.660349,-78.485947,NC,Johnston,Clayton
A-3450127,36.23602,-80.81659,NC,Yadkin,Jonesville
A-3450130,35.25745999999999,-81.02215,NC,Gaston,Belmont
A-3450147,35.40084,-82.51131,NC,Henderson,Hendersonville
A-3450188,35.898094,-78.55834899999998,NC,Wake,Raleigh
A-3450713,35.24807,-82.33309,NC,Polk,Saluda
A-3450717,35.49785,-80.563897,NC,Cabarrus,Kannapolis
A-3450955,35.83471,-78.330337,NC,Wake,Zebulon
A-3450981,35.231309,-80.605471,NC,Mecklenburg,Charlotte
A-3451239,35.48431,-82.55929,NC,Buncombe,Asheville
A-3451332,36.07351,-79.16660999999998,NC,Orange,Efland
A-3451548,35.97305,-77.87994,NC,Nash,Rocky Mount
A-3451662,35.98840999999999,-77.24393,NC,Martin,Oak City
A-3452151,35.849086,-80.121904,NC,Davidson,Thomasville
A-3452198,36.49108,-80.74635,NC,Surry,Mount Airy
A-3452532,35.58388,-82.45898000000003,NC,Buncombe,Asheville
A-3453068,34.97247,-78.86533,NC,Cumberland,Fayetteville
A-3453201,35.948426,-76.957116,NC,Bertie,Windsor
A-3453229,35.62336,-82.19896,NC,McDowell,Old Fort
A-3453373,35.72677,-81.55781999999998,NC,Burke,Valdese
A-3453605,34.959908,-78.45796899999998,NC,Sampson,Roseboro
A-3453765,35.22802,-78.35361999999998,NC,Sampson,Newton Grove
A-3453855,36.06814,-79.49401,NC,Alamance,Burlington
A-3454043,35.4381,-78.42283,NC,Johnston,Four Oaks
A-3454066,35.179795,-77.673025,NC,Lenoir,Kinston
A-3454161,36.43272,-78.29321999999998,NC,Warren,Manson
A-3454194,35.2533,-82.21889,NC,Polk,Columbus
A-3454293,35.618927,-78.682682,NC,Wake,Raleigh
A-3454343,35.15705,-78.71828000000002,NC,Cumberland,Wade
A-3454413,35.837937,-80.28609,NC,Davidson,Lexington
A-3454521,36.08327,-78.31416999999998,NC,Franklin,Louisburg
A-3454676,35.63115999999999,-80.49382,NC,Rowan,Salisbury
A-3454694,35.460099,-83.016202,NC,Haywood,Waynesville
A-3455042,34.62236,-79.0549,NC,Robeson,Lumberton
A-3455163,35.65614799999999,-78.955211,NC,Wake,New Hill
A-3455306,34.835264,-78.977426,NC,Robeson,Saint Pauls
