ID,Start_Lat,Start_Lng,State,County,City
A-3424838,39.85183,-104.98631,CO,Adams,Denver
A-3424883,38.831476,-104.840994,CO,El Paso,Colorado Springs
A-3424990,39.56404000000001,-104.91009,CO,Douglas,Littleton
A-3425123,39.964685,-104.98817,CO,Adams,Broomfield
A-3425211,40.30922,-104.98087,CO,Weld,Berthoud
A-3425383,39.77543,-104.86141,CO,Denver,Denver
A-3425399,39.13297,-104.86343,CO,Douglas,Larkspur
A-3425550,39.66075,-104.83926,CO,Arapahoe,Aurora
A-3425556,39.24467,-104.87973,CO,Douglas,Larkspur
A-3425718,38.959,-104.776749,CO,El Paso,Colorado Springs
A-3426283,39.41947,-104.8728,CO,Douglas,Castle Rock
A-3426392,38.87222,-104.71912,CO,El Paso,Colorado Springs
A-3426814,40.43965,-104.99242,CO,Larimer,Loveland
A-3426869,39.69716,-104.98279,CO,Denver,Denver
A-3426922,38.25875,-104.60549,CO,Pueblo,Pueblo
A-3427138,39.50973,-104.76354,CO,Douglas,Parker
A-3427152,37.66041,-104.79633,CO,Huerfano,Walsenburg
A-3427287,38.39906,-104.61774,CO,Pueblo,Pueblo
A-3427291,40.07318,-104.37629,CO,Weld,Roggen
A-3427319,39.27857,-103.40266,CO,Lincoln,Genoa
A-3427333,39.29363,-102.73917,CO,Kit Carson,Vona
A-3427347,40.0917,-104.98065,CO,Weld,Erie
A-3427660,39.92158,-104.85308,CO,Adams,Brighton
A-3511042,39.043055,-106.266127,CO,Chaffee,Granite
A-3511085,39.773374,-105.14306,CO,Jefferson,Golden
A-3511096,39.74539,-105.43974,CO,Clear Creek,Evergreen
A-3511123,39.67868,-105.93503,CO,Summit,Dillon
A-3511155,39.488213,-105.358212,CO,Jefferson,Conifer
A-3511156,39.59103,-106.09853,CO,Summit,Frisco
A-3511161,39.52518,-106.21529,CO,Summit,Frisco
A-3511182,39.589549,-107.184896,CO,Garfield,Glenwood Springs
A-3511183,39.91378,-105.09049,CO,Broomfield,Broomfield
A-3511188,39.704621,-105.254255,CO,Jefferson,Golden
A-3511199,39.64614,-106.31176,CO,Eagle,Vail
A-3511212,40.367639,-106.575972,CO,Grand,Kremmling
A-3511234,39.578352,-105.141691,CO,Jefferson,Littleton
A-3511256,40.197113,-107.826727,CO,Rio Blanco,Meeker
A-3511340,39.69917,-106.67575,CO,Eagle,Edwards
A-3511353,39.531413,-106.393093,CO,Eagle,Vail
A-3511378,38.001325,-107.292451,CO,Hinsdale,Lake City
A-3511438,38.439322,-107.344514,CO,Gunnison,Gunnison
A-3511496,39.662315,-106.824553,CO,Eagle,Eagle
A-3511498,39.652135,-106.959658,CO,Eagle,Gypsum
A-3511593,39.388903000000006,-107.083701,CO,Eagle,Basalt
A-3511669,39.103848,-108.448131,CO,Mesa,Clifton
A-3511671,39.324842,-108.206191,CO,Mesa,De Beque
