ID,Start_Lat,Start_Lng,State,County,City
A-228659,38.919521,-76.933144,MD,Prince George's,Hyattsville
A-228660,38.935223,-76.917007,MD,Prince George's,Hyattsville
A-228688,39.099648,-76.890022,MD,Prince George's,Laurel
A-228740,39.050713,-76.93085500000002,MD,Prince George's,Beltsville
A-228741,38.9305,-76.89765200000002,MD,Prince George's,Hyattsville
A-228747,38.917934,-76.915504,MD,Prince George's,Hyattsville
A-228775,39.026741,-76.855232,MD,Prince George's,Beltsville
A-228869,38.712349,-76.85390500000003,MD,Prince George's,Brandywine
A-228870,38.954979,-76.717438,MD,Prince George's,Bowie
A-228899,38.819439,-76.919365,MD,Prince George's,Temple Hills
A-228902,38.822124,-76.887909,MD,Prince George's,Suitland
A-228937,38.851227,-76.95989200000002,MD,Prince George's,Temple Hills
A-229068,38.772964,-76.99593399999998,MD,Prince George's,Fort Washington
A-229160,39.018211,-76.926636,MD,Prince George's,College Park
A-229204,38.953041,-76.743225,MD,Prince George's,Bowie
A-229366,38.991417,-76.886101,MD,Prince George's,Lanham
A-229494,38.701996,-76.8759,MD,Prince George's,Brandywine
A-229499,38.795364,-77.015793,MD,Prince George's,Oxon Hill
A-229532,38.90699,-76.84961700000002,MD,Prince George's,Upper Marlboro
A-229538,38.892124,-76.846939,MD,Prince George's,Upper Marlboro
A-229563,38.972149,-76.915253,MD,Prince George's,Riverdale
A-229711,38.664818,-77.017517,MD,Prince George's,Accokeek
A-229734,38.820793,-76.84874,MD,Prince George's,Andrews Air Force Base
A-229745,39.073837,-76.9058,MD,Prince George's,Laurel
A-229891,39.01189,-76.904198,MD,Prince George's,Greenbelt
A-230050,39.056347,-76.839485,MD,Prince George's,Laurel
A-230075,38.920792,-76.878029,MD,Prince George's,Hyattsville
A-230107,38.945377,-76.858414,MD,Prince George's,Hyattsville
A-230232,38.868965,-76.8442,MD,Prince George's,Upper Marlboro
A-230452,38.985977,-76.956177,MD,Prince George's,Hyattsville
A-230488,38.65517,-76.999123,MD,Prince George's,Waldorf
A-230544,38.727974,-76.88140899999998,MD,Prince George's,Brandywine
A-230576,38.750412,-76.879417,MD,Prince George's,Clinton
A-230698,38.945412,-76.770042,MD,Prince George's,Bowie
A-230704,38.808456,-76.97058100000002,MD,Prince George's,Fort Washington
A-230716,38.961174,-76.905525,MD,Prince George's,Riverdale
A-230730,38.845387,-76.891853,MD,Prince George's,District Heights
A-230858,38.959663,-76.866058,MD,Prince George's,Hyattsville
A-230896,39.022236,-76.949287,MD,Prince George's,Hyattsville
A-230906,38.803619,-76.999039,MD,Prince George's,Oxon Hill
A-230940,38.918472,-76.860489,MD,Prince George's,Hyattsville
A-231143,38.972626,-76.86955999999998,MD,Prince George's,Lanham
A-231185,38.830948,-76.87625899999998,MD,Prince George's,Suitland
A-231411,38.674713,-76.876099,MD,Prince George's,Brandywine
A-232370,39.003151,-76.865082,MD,Prince George's,Greenbelt
A-232779,38.787338,-76.998451,MD,Prince George's,Oxon Hill
A-233139,38.956375,-76.82285300000002,MD,Prince George's,Lanham
A-3449268,38.897756,-76.807324,MD,Prince George's,Upper Marlboro
A-3449282,38.90057,-76.79158000000002,MD,Prince George's,Bowie
A-3449360,39.01855,-76.97125,MD,Prince George's,Hyattsville
A-3451507,38.79945,-76.90196999999998,MD,Prince George's,Andrews Air Force Base
A-3451539,38.986491,-76.71470699999998,MD,Prince George's,Bowie
A-3453657,38.944266,-76.799277,MD,Prince George's,Bowie
A-3454111,39.063175,-76.88419499999998,MD,Prince George's,Beltsville
A-3455484,39.03431,-76.94218000000002,MD,Prince George's,Beltsville
